ID,Station,Line Name,Division,Latitude,Longitude,Location,Comment
1,1 AV,L,BMT,40.730953,-73.981628,,
1,1 AVE,L,BMT,40.730953,-73.981628,,
3,103 ST,1,IRT,40.799446,-73.968379,,
4,103 ST,6,IRT,40.7906,-73.947478,,
5,103 ST,BC,IND,40.796092,-73.961454,,
6,110 ST,6,IRT,40.79502,-73.94425,"40.795020000000001, -73.944249999999997",
7,110 ST-CPN,23,IRT,40.799075,-73.951822,"40.799075000000002, -73.951821999999979",
8,116 ST,23,IRT,40.802098,-73.949625,,
9,116 ST,6,IRT,40.798629,-73.941617,,
10,116 ST,BC,IND,40.805085,-73.954882,,
11,116 ST-COLUMBIA,1,IRT,40.807722,-73.96411,"40.807721999999998, -73.964109999999977",
12,125 ST,ACBD,IND,40.811109,-73.952343,,
13,125 ST,456,IRT,40.804138,-73.937594,,
14,125 ST,1,IRT,40.815581,-73.958372,,
15,125 ST,23,IRT,40.807754,-73.945495,,
16,135 ST,23,IRT,40.814229,-73.94077,,
17,135 ST,BC,IND,40.817894,-73.947649,,
18,137 ST CITY COL,1,IRT,40.822008,-73.953676,,
18,137 ST-CITY COL,1,IRT,40.822008,-73.953676,,
20,14 ST,ACEL,IND,40.740893,-74.00169,,
21,14 ST,123FLM,IRT,40.738228,-73.996209,,
21,14 ST,FLM123,IND,40.738228,-73.996209,,
21,14 ST-6 AVE,FLM123,IND,40.738228,-73.996209,,
24,14 ST-UNION SQ,456LNQR,IRT,40.734673,-73.989951,,
24,14 ST-UNION SQ,LNQR456,BMT,40.734673,-73.989951,,
26,145 ST,1,IRT,40.826551,-73.95036,,
27,145 ST,3,IRT,40.820421,-73.936245,,
28,145 ST,ABCD,IND,40.824783,-73.944216,,
29,155 ST,C,IND,40.830518,-73.941514,,
30,155 ST,BD,IND,40.830135,-73.938209,,
31,157 ST,1,IRT,40.834041,-73.94489,"40.834040999999999, -73.944890000000001",
32,163 ST-AMSTERDM,C,IND,40.836013,-73.939892,"40.836013000000001, -73.939892",
33,168 ST,AC1,IND,40.840719,-73.939561,,
33,168 ST,1AC,IRT,40.840556,-73.940133,,
35,168 ST-BROADWAY,AC1,IND,40.840719,-73.939561,,
35,168 ST-BROADWAY,1AC,IRT,40.840556,-73.940133,,
37,175 ST,A,IND,40.847391,-73.939704,"40.847391000000002, -73.939704000000006",
38,18 ST,1,IRT,40.74104,-73.997871,"40.741040000000012, -73.997870999999975",
39,181 ST,A,IND,40.851695,-73.937969,,
40,181 ST,1,IRT,40.849505,-73.933596,,
