Column,Description,To Keep
CMPLNT_NUM,Randomly generated persistent ID for each complaint ,Y
CMPLNT_FR_DT,"Exact date of occurrence for the reported event (or starting date of occurrence, if CMPLNT_TO_DT exists)",Y
CMPLNT_FR_TM,"Exact time of occurrence for the reported event (or starting time of occurrence, if CMPLNT_TO_TM exists)",Y
CMPLNT_TO_DT,"Ending date of occurrence for the reported event, if exact time of occurrence is unknown",N
CMPLNT_TO_TM,"Ending time of occurrence for the reported event, if exact time of occurrence is unknown",N
RPT_DT,Date event was reported to police ,N
KY_CD,Three digit offense classification code,N
OFNS_DESC,Description of offense corresponding with key code,Y
PD_CD,Three digit internal classification code (more granular than Key Code),N
PD_DESC,Description of internal classification corresponding with PD code (more granular than Offense Description),Y
CRM_ATPT_CPTD_CD,"Indicator of whether crime was successfully completed or attempted, but failed or was interrupted prematurely",N
LAW_CAT_CD,"Level of offense: felony, misdemeanor, violation ",Y
JURIS_DESC,"Jurisdiction responsible for incident. Either internal, like Police, Transit, and Housing; or external, like Correction, Port Authority, etc.",N
BORO_NM,The name of the borough in which the incident occurred,Y
ADDR_PCT_CD,The precinct in which the incident occurred,Y
LOC_OF_OCCUR_DESC,"Specific location of occurrence in or around the premises; inside, opposite of, front of, rear of",N
PREM_TYP_DESC,"Specific description of premises; grocery store, residence, street, etc.",Y
PARKS_NM,"Name of NYC park, playground or greenspace of occurrence, if applicable (state parks are not included)",N
HADEVELOPT,"Name of NYCHA housing development of occurrence, if applicable",N
X_COORD_CD,"X-coordinate for New York State Plane Coordinate System, Long Island Zone, NAD 83, units feet (FIPS 3104)",N
Y_COORD_CD,"Y-coordinate for New York State Plane Coordinate System, Long Island Zone, NAD 83, units feet (FIPS 3104)",N
Latitude,"Latitude coordinate for Global Coordinate System, WGS 1984, decimal degrees (EPSG 4326) ",Y
Longitude,"Longitude coordinate for Global Coordinate System, WGS 1984, decimal degrees (EPSG 4326)",Y
