,Time,Count
0,11:59:53,3
1,11:59:52,10
2,11:59:51,7
3,11:59:50,12
4,15:51:48,4
5,15:51:49,5
6,11:59:55,31
7,11:59:54,4
8,15:51:44,5
9,12:18:35,6
10,11:59:59,2
11,15:51:47,12
12,15:51:40,8
13,15:51:41,4
14,15:51:42,7
15,12:18:34,5
16,09:23:46,7
17,09:23:47,2
18,16:30:39,8
19,09:23:45,11
20,09:23:42,5
21,09:23:43,14
22,09:23:40,4
23,09:23:41,9
24,16:30:33,11
25,11:59:57,9
26,16:30:31,3
27,19:43:48,8
28,16:30:37,3
29,16:30:36,16
30,16:30:35,5
31,16:30:34,5
32,18:52:19,7
33,18:52:18,17
34,12:11:29,2
35,12:11:28,7
36,00:33:05,2
37,18:52:13,9
38,12:11:24,6
39,18:52:11,6
40,18:52:10,13
41,12:11:21,2
42,12:11:20,6
43,18:52:15,8
44,18:52:14,9
45,02:28:53,11
46,02:27:04,8
47,02:27:07,7
48,02:28:50,12
49,02:28:57,4
50,02:28:56,5
51,02:28:55,13
52,02:28:54,5
53,23:54:46,8
54,02:28:59,11
55,02:28:58,7
56,02:27:09,2
57,02:27:08,13
58,06:46:28,5
59,07:25:51,41
60,12:20:29,4
61,21:59:06,5
62,07:25:50,8
63,19:10:03,10
64,21:53:13,4
65,15:06:11,14
66,07:25:53,5
67,08:49:38,8
68,02:29:54,11
69,02:29:55,19
70,02:29:56,5
71,02:29:57,5
72,02:29:50,5
73,02:29:51,11
74,02:29:52,9
75,02:29:53,5
76,07:25:55,21
77,15:51:43,7
78,02:29:58,7
79,02:29:59,9
80,07:13:20,29
81,03:11:29,3
82,03:11:28,5
83,07:25:57,4
84,03:11:23,9
85,03:11:22,8
86,03:11:21,5
87,03:11:20,4
88,03:11:27,13
89,03:11:26,10
90,03:11:25,2
91,03:11:24,4
92,13:34:00,11
93,13:24:51,2
94,16:30:38,5
95,19:13:44,9
96,17:47:21,5
97,13:24:50,4
98,14:15:05,4
99,20:16:53,11
100,05:51:58,8
101,00:55:59,5
102,13:24:52,6
103,12:59:16,12
104,04:22:13,9
105,03:01:19,5
106,00:44:52,4
107,03:01:17,5
108,13:08:26,14
109,03:01:15,4
110,03:01:14,10
111,03:01:13,3
112,03:01:12,4
113,03:01:11,8
114,03:01:10,12
115,19:46:18,3
116,17:47:20,4
117,07:48:52,4
118,16:30:32,1
119,00:44:57,8
120,13:08:25,3
121,23:19:38,4
122,11:04:55,9
123,19:41:48,9
124,11:58:54,5
125,11:58:55,9
126,11:58:56,10
127,11:58:57,8
128,11:58:50,4
129,11:58:51,25
130,11:58:52,7
131,11:58:53,2
132,11:58:58,2
133,11:58:59,1
134,15:12:21,2
135,08:10:11,4
136,13:27:36,9
137,19:41:45,7
138,09:23:48,12
139,03:03:19,1
140,19:46:12,8
141,23:19:39,4
142,09:23:49,1
143,19:46:11,7
144,00:44:58,12
145,18:47:31,8
146,13:09:17,7
147,19:46:17,11
148,01:57:49,3
149,05:51:55,39
150,07:36:55,18
151,07:36:54,44
152,07:36:57,13
153,05:19:35,11
154,07:36:51,33
155,07:36:50,14
