STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,2014-12-01 00:51,FM-15,OVC:08 95,10.00,,54,12.2,47,8.3,39,3.9,57,5,VRB,,29.92,8,,30.07,0.00,30.09,,,,,,,,,,0700,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,2014-12-01 01:51,FM-15,OVC:08 100,10.00,,55,12.8,48,8.8,40,4.4,57,10,250,18,29.92,,,30.07,0.00,30.09,,,,,,,,,,0700,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,2014-12-01 02:51,FM-15,OVC:08 100,10.00,,56,13.3,48,9.0,40,4.4,55,10,260,21,29.92,,,30.07,0.00,30.09,,,,,,,,,,0700,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,2014-12-01 03:51,FM-15,OVC:08 95,10.00,,55,12.8,48,8.8,40,4.4,57,8,VRB,18,29.92,3,,30.07,0.00,30.09,,,,,,,,,,0700,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,2014-12-01 04:51,FM-15,SCT:04 95,10.00,,54,12.2,48,8.7,41,5.0,62,6,250,,29.94,,,30.09,0.00,30.11,,,,,,,,,,0700,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,2014-12-01 05:51,FM-15,CLR:00,10.00,,54,12.2,48,8.7,41,5.0,62,5,VRB,,29.95,,,30.10,0.00,30.12,,,,,,,,,,0700,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,2014-12-01 06:51,FM-15,BKN:07 100,10.00,,54,12.2,48,8.7,41,5.0,62,6,VRB,,29.96,1,,30.11,0.00,30.13,,,,,,,,,,0700,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,2014-12-01 07:51,FM-15,BKN:07 110,10.00,,54,12.2,48,9.0,42,5.6,64,7,VRB,,29.97,,,30.12,0.00,30.14,,,,,,,,,,0700,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,2014-12-01 08:51,FM-15,OVC:08 100,10.00,,55,12.8,49,9.2,42,5.6,62,6,270,,29.98,,,30.13,0.00,30.15,,,,,,,,,,0700,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94728,NY CITY CENTRAL PARK NY US,42.7,40.77898,-73.96925,2014-12-01 09:51,FM-15,FEW:02 100,10.00,,57,13.9,50,9.8,42,5.6,58,5,VRB,,29.99,1,,30.14,0.00,30.16,,,,,,,,,,0700,1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
