date,hour_interval,total_precip
2015-01-01,0000-0400,0.0
2015-01-01,0400-0800,0.0
2015-01-01,0800-1200,0.0
2015-01-01,1200-1600,0.0
2015-01-01,1600-2000,0.0
2015-01-01,2000-0000,0.0
2015-01-02,0000-0400,0.0
2015-01-02,0400-0800,0.0
2015-01-02,0800-1200,0.0
2015-01-02,1200-1600,0.0
2015-01-02,1600-2000,0.0
2015-01-02,2000-0000,0.0
2015-01-03,0000-0400,0.0
2015-01-03,0400-0800,0.0
2015-01-03,0800-1200,0.0
2015-01-03,1200-1600,0.43
2015-01-03,1600-2000,0.8300000000000001
2015-01-03,2000-0000,0.27999999999999997
2015-01-04,0000-0400,0.4
2015-01-04,0400-0800,0.05
2015-01-04,0800-1200,0.02
2015-01-04,1200-1600,0.0
2015-01-04,1600-2000,0.02
2015-01-04,2000-0000,0.060000000000000005
2015-01-05,0000-0400,0.0
2015-01-05,0400-0800,0.0
2015-01-05,0800-1200,0.0
2015-01-05,1200-1600,0.0
2015-01-05,1600-2000,0.0
2015-01-05,2000-0000,0.0
2015-01-06,0000-0400,0.0
2015-01-06,0400-0800,0.0
2015-01-06,0800-1200,0.07999999999999999
2015-01-06,1200-1600,0.0
2015-01-06,1600-2000,0.0
2015-01-06,2000-0000,0.0
2015-01-07,0000-0400,0.0
2015-01-07,0400-0800,0.0
2015-01-07,0800-1200,0.0
2015-01-07,1200-1600,0.0
2015-01-07,1600-2000,0.0
2015-01-07,2000-0000,0.0
2015-01-08,0000-0400,0.0
2015-01-08,0400-0800,0.0
2015-01-08,0800-1200,0.0
2015-01-08,1200-1600,0.0
2015-01-08,1600-2000,0.0
2015-01-08,2000-0000,0.0
2015-01-09,0000-0400,0.0
2015-01-09,0400-0800,0.11000000000000001
2015-01-09,0800-1200,0.14
2015-01-09,1200-1600,0.0
2015-01-09,1600-2000,0.0
2015-01-09,2000-0000,0.0
2015-01-10,0000-0400,0.0
2015-01-10,0400-0800,0.0
2015-01-10,0800-1200,0.0
2015-01-10,1200-1600,0.0
2015-01-10,1600-2000,0.0
2015-01-10,2000-0000,0.0
2015-01-11,0000-0400,0.0
2015-01-11,0400-0800,0.0
2015-01-11,0800-1200,0.0
2015-01-11,1200-1600,0.0
2015-01-11,1600-2000,0.0
2015-01-11,2000-0000,0.0
2015-01-12,0000-0400,0.0
2015-01-12,0400-0800,0.01
2015-01-12,0800-1200,0.18000000000000002
2015-01-12,1200-1600,0.6600000000000001
2015-01-12,1600-2000,0.0
2015-01-12,2000-0000,0.01
2015-01-13,0000-0400,0.0
2015-01-13,0400-0800,0.0
2015-01-13,0800-1200,0.0
2015-01-13,1200-1600,0.0
2015-01-13,1600-2000,0.0
2015-01-13,2000-0000,0.0
2015-01-14,0000-0400,0.0
2015-01-14,0400-0800,0.0
2015-01-14,0800-1200,0.0
2015-01-14,1200-1600,0.0
2015-01-14,1600-2000,0.0
2015-01-14,2000-0000,0.0
2015-01-15,0000-0400,0.0
2015-01-15,0400-0800,0.0
2015-01-15,0800-1200,0.0
2015-01-15,1200-1600,0.0
2015-01-15,1600-2000,0.0
2015-01-15,2000-0000,0.0
2015-01-16,0000-0400,0.0
2015-01-16,0400-0800,0.0
